canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,fuente
O=C(O)c1cccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)c1,CHEMBL461759,IC50,nM,1500.0,IC50,uM,1.5,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(F)c(C(F)(F)F)c3)C2=O)cc1,CHEMBL460075,IC50,nM,1500.0,IC50,uM,1.5,ChEMBL
O=C(O)c1cc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)ccc1O,CHEMBL461375,IC50,nM,1400.0,IC50,uM,1.4,ChEMBL
O=C1/C(=C/c2ccc(-c3nn[nH]n3)cc2)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL461940,IC50,nM,760.0,IC50,uM,0.76,ChEMBL
O=C(O)c1cc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)ccc1O,CHEMBL452052,IC50,nM,32000.0,IC50,uM,32.0,ChEMBL
O=C(O)c1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,CHEMBL451791,IC50,nM,28000.0,IC50,uM,28.0,ChEMBL
O=C(O)c1ccc(CC2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL452565,IC50,nM,27000.0,IC50,uM,27.0,ChEMBL
O=C1C(C(=S)Nc2ccc(S(=O)(=O)[O-])o2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+],CHEMBL452564,IC50,nM,27000.0,IC50,uM,27.0,ChEMBL
O=C(O)c1ccc(NC(=S)C2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1O,CHEMBL451805,IC50,nM,25000.0,IC50,uM,25.0,ChEMBL
O=C1C(C(=S)Nc2ccc(S(=O)(=O)[O-])cc2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+],CHEMBL509100,IC50,nM,11000.0,IC50,uM,11.0,ChEMBL
O=C(O)c1ccc(NC(=S)C2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL451804,IC50,nM,9000.0,IC50,uM,9.0,ChEMBL
O=C(O)c1ccc(SC2CC(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL487654,IC50,nM,7000.0,IC50,uM,7.0,ChEMBL
O=C(O)c1ccc(NC2=C(Cl)C(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL488825,IC50,nM,36000.0,IC50,uM,36.0,ChEMBL
O=C1S/C(=C\c2ccc(-c3nn[nH]n3)cc2)C(=O)N1c1cccc(C(F)(F)F)c1,CHEMBL527432,IC50,nM,17000.0,IC50,uM,17.0,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL488824,IC50,nM,1400.0,IC50,uM,1.4,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL461939,IC50,nM,300.0,IC50,uM,0.3,ChEMBL
O=C(CNc1ccc2ccccc2c1)N/N=C/c1cc(Br)c(O)c(Br)c1O,CHEMBL1221576,IC50,nM,5000.0,IC50,uM,5.0,ChEMBL
Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2ccc(C)o2)c1,CHEMBL1222175,IC50,nM,700.0,IC50(app),uM,0.7,ChEMBL
Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1087004,IC50,nM,800.0,IC50(app),uM,0.8,ChEMBL
Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4C)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1222176,IC50,nM,800.0,IC50(app),uM,0.8,ChEMBL
Cc1ccc(C2Nc3cc(C)c(C)cc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1081471,IC50,nM,800.0,IC50(app),uM,0.8,ChEMBL
Cc1ccc(C2Nc3cc(C)c(C)cc3-n3c(-c4ccccc4F)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1222276,IC50,nM,1500.0,IC50(app),uM,1.5,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1cccc(F)c1F)Nc1ccccc1-3,CHEMBL1222277,IC50,nM,1200.0,IC50(app),uM,1.2,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1cccc([N+](=O)[O-])c1)Nc1ccccc1-3,CHEMBL1080548,IC50,nM,1200.0,IC50(app),uM,1.2,ChEMBL
Cc1cc2c(cc1C)-n1c(-c3ccccc3)c3c(=O)n(C)c(=O)n(C)c3c1C(c1ccc(O)cc1)N2,CHEMBL1222278,IC50,nM,1500.0,IC50(app),uM,1.5,ChEMBL
COc1cccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)c1,CHEMBL1222337,IC50,nM,1700.0,IC50(app),uM,1.7,ChEMBL
