canonical_key,canonical_smiles,pIC50,fuente
C=CCn1nc(C(=O)NCc2ccccc2)cc1-c1sc(NC(=O)C(C)(C)C)nc1C,C=CCn1nc(C(=O)NCc2ccccc2)cc1-c1sc(NC(=O)C(C)(C)C)nc1C,5.522878745280337,"BindingDB,ChEMBL,Papyrus"
C=CCn1nc(C(=O)Nc2ccc(OC)cc2)cc1-c1sc(NC(=O)C(C)(C)C)nc1C,C=CCn1nc(C(=O)Nc2ccc(OC)cc2)cc1-c1sc(NC(=O)C(C)(C)C)nc1C,6.031517051446065,"BindingDB,ChEMBL,Papyrus"
C=Cc1ccc(CC2(C)C(=O)Nc3ccc(-c4cccnc4)cc32)cc1,C=Cc1ccc(CC2(C)C(=O)Nc3ccc(-c4cccnc4)cc32)cc1,5.474,Papyrus
CC(=NNc1cc(N2CCOCC2)ncn1)c1cccc([N+](=O)[O-])c1,CC(=NNc1cc(N2CCOCC2)ncn1)c1cccc([N+](=O)[O-])c1,5.376,Papyrus
CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)CCl,CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)CCl,5.547999999999999,Papyrus
CC(=O)NC1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccc(Cl)cc2)CC3)CC1,CC(=O)NC1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccc(Cl)cc2)CC3)CC1,6.149966742310231,"BindingDB,ChEMBL,Papyrus"
CC(=O)NCCCNc1nc(-c2ccccn2)nc2c1CN(Cc1ccc(F)cc1)CC2,CC(=O)NCCCNc1nc(-c2ccccn2)nc2c1CN(Cc1ccc(F)cc1)CC2,6.699991797446187,"BindingDB,ChEMBL,Papyrus"
CC(=O)NCCNc1nc(-c2ccccn2)nc2c1CN(Cc1ccc(F)cc1)CC2,CC(=O)NCCNc1nc(-c2ccccn2)nc2c1CN(Cc1ccc(F)cc1)CC2,6.55,"BindingDB,ChEMBL,Papyrus"
CC(=O)Nc1ccc(-c2csc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)n2)cc1,CC(=O)Nc1ccc(-c2csc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)n2)cc1,5.300769731167458,"BindingDB,ChEMBL"
CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,5.223,Papyrus
CC(=O)Nc1ccc(Nc2nc(-c3sc(NC(C)=O)nc3C)cs2)cc1,CC(=O)Nc1ccc(Nc2nc(-c3sc(NC(C)=O)nc3C)cs2)cc1,5.772,Papyrus
CC(=O)Nc1ccc([N+](=O)[O-])cc1-c1nc2cccc3c2n(c1=O)CCO3,CC(=O)Nc1ccc([N+](=O)[O-])cc1-c1nc2cccc3c2n(c1=O)CCO3,6.086186147616283,"BindingDB,ChEMBL,Papyrus"
CC(=O)Nc1nc(C)c(-c2csc(Nc3cccc(C(C)=O)c3)n2)s1,CC(=O)Nc1nc(C)c(-c2csc(Nc3cccc(C(C)=O)c3)n2)s1,6.269,Papyrus
CC(=O)OC1(C)CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,CC(=O)OC1(C)CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,6.824,Papyrus
CC(=O)OC1CCC2(C)C(=O)C=CC3=C(C)C(=O)C(C3)C(O)CC2C1(C)C,CC(=O)OC1CCC2(C)C(=O)C=CC3=C(C)C(=O)C(C3)C(O)CC2C1(C)C,5.87,Papyrus
CC(=O)OC1CCC2(C)C(CCC3C2CC(=O)OC2(C)C(C(C)=O)C=CC32)C1,CC(=O)OC1CCC2(C)C(CCC3C2CC(=O)OC2(C)C(C(C)=O)C=CC32)C1,6.0120000000000005,Papyrus
CC(=O)OCCN1c2ccccc2Sc2cnccc21,CC(=O)OCCN1c2ccccc2Sc2cnccc21,5.364,Papyrus
CC(=O)Oc1c(Br)cc(N(C(C)=O)S(=O)(=O)c2ccccc2)c2ccccc12,CC(=O)Oc1c(Br)cc(N(C(C)=O)S(=O)(=O)c2ccccc2)c2ccccc12,5.135,Papyrus
CC(=O)Oc1c(C(=O)c2nnc(C)o2)c(=O)n(Cc2ccccc2)c2ccccc12,CC(=O)Oc1c(C(=O)c2nnc(C)o2)c(=O)n(Cc2ccccc2)c2ccccc12,5.627000000000001,Papyrus
CC(=O)Oc1c(Cl)cc(N(C(C)=O)S(=O)(=O)c2ccccc2)c2ccccc12,CC(=O)Oc1c(Cl)cc(N(C(C)=O)S(=O)(=O)c2ccccc2)c2ccccc12,5.115,Papyrus
CC(=O)Oc1ccc(N(C(C)=O)S(=O)(=O)c2ccc(Cl)cc2)c2ccccc12,CC(=O)Oc1ccc(N(C(C)=O)S(=O)(=O)c2ccc(Cl)cc2)c2ccccc12,5.132999999999999,Papyrus
CC(=O)Oc1ccc(N(C(C)=O)S(=O)(=O)c2cccs2)c2ccccc12,CC(=O)Oc1ccc(N(C(C)=O)S(=O)(=O)c2cccs2)c2ccccc12,5.19,Papyrus
CC(=O)c1c(C)n(-c2ccccc2)c2ccc(O)cc12,CC(=O)c1c(C)n(-c2ccccc2)c2ccc(O)cc12,5.252999999999999,Papyrus
CC(=O)c1c(C)n(C2CCCCC2)c2ccc(O)cc12,CC(=O)c1c(C)n(C2CCCCC2)c2ccc(O)cc12,6.099,Papyrus
CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,5.272,Papyrus
CC(=O)c1c(O)cc2c3c1OC(C)(C)C1CCC(C)(CC31)O2,CC(=O)c1c(O)cc2c3c1OC(C)(C)C1CCC(C)(CC31)O2,5.564,Papyrus
CC(=O)c1cc(-c2ccc(N3CCOCC3)cc2)c2c(C)nn(-c3ccccc3)c2n1,CC(=O)c1cc(-c2ccc(N3CCOCC3)cc2)c2c(C)nn(-c3ccccc3)c2n1,5.0,"BindingDB,ChEMBL"
CC(=O)c1ccc(-c2cnc3c(NC=O)cc(-c4ccc(C(=O)NC5CC5)cc4)cn23)cc1,CC(=O)c1ccc(-c2cnc3c(NC=O)cc(-c4ccc(C(=O)NC5CC5)cc4)cn23)cc1,5.372000000000001,Papyrus
CC(=O)c1ccc(-n2c(C)c(C(C)=O)c3cc(O)ccc32)cc1,CC(=O)c1ccc(-n2c(C)c(C(C)=O)c3cc(O)ccc32)cc1,5.872999999999999,Papyrus
CC(=O)c1ccc(NC(=O)Nc2ccc3c(c2)N(C)C(=O)CS3)cc1,CC(=O)c1ccc(NC(=O)Nc2ccc3c(c2)N(C)C(=O)CS3)cc1,5.289,Papyrus
CC(=O)c1ccc(Nc2ncnc3ccc(Br)cc23)cc1,CC(=O)c1ccc(Nc2ncnc3ccc(Br)cc23)cc1,5.662000000000001,Papyrus
CC(=O)c1cccc(NC(=O)COC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)c1,CC(=O)c1cccc(NC(=O)COC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)c1,5.279,Papyrus
CC(=O)c1cccc(NC(=O)Nc2cccnc2)c1,CC(=O)c1cccc(NC(=O)Nc2cccnc2)c1,6.216,Papyrus
CC(=O)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccccc1,CC(=O)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccccc1,5.565431095965801,"BindingDB,ChEMBL,Papyrus"
CC(=O)n1cc(O)nc1SCC(=O)Nc1nc(C)c(-c2ccccc2)s1,CC(=O)n1cc(O)nc1SCC(=O)Nc1nc(C)c(-c2ccccc2)s1,5.0360000000000005,Papyrus
CC(C)(C)C(=O)C(=Cc1ccncc1)n1cncn1,CC(C)(C)C(=O)C(=Cc1ccncc1)n1cncn1,5.654,Papyrus
CC(C)(C)C(=O)Nc1sc(S(=O)(=O)c2ccc(F)cc2)cc1C(N)=O,CC(C)(C)C(=O)Nc1sc(S(=O)(=O)c2ccc(F)cc2)cc1C(N)=O,6.453457336521869,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)CC(O)C(=O)Nc1sc2c(c1C(N)=O)CC(C)(C)OC2(C)C,CC(C)(C)CC(O)C(=O)Nc1sc2c(c1C(N)=O)CC(C)(C)OC2(C)C,8.453803120088516,"ChEMBL,Papyrus"
CC(C)(C)OC(=O)NCC(=O)Oc1cc2oc(=O)cc(-c3ccccc3)c2cc1Cl,CC(C)(C)OC(=O)NCC(=O)Oc1cc2oc(=O)cc(-c3ccccc3)c2cc1Cl,5.921,Papyrus
CC(C)(C)OC(=O)NCCCCCNC(=O)c1[nH]cnc1C(=O)NCC(=O)OCc1ccccc1,CC(C)(C)OC(=O)NCCCCCNC(=O)c1[nH]cnc1C(=O)NCC(=O)OCc1ccccc1,5.449,Papyrus
CC(C)(C)c1c[nH]c2cc(NC(=O)c3c[nH]c4ccccc4c3=O)ccc12,CC(C)(C)c1c[nH]c2cc(NC(=O)c3c[nH]c4ccccc4c3=O)ccc12,7.715,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1cc(C(F)(F)F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CC(C)(C)c1cc(C(F)(F)F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,8.090228032229065,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1cc(F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CC(C)(C)c1cc(F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,8.025,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1cc2c(C#N)c(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)ccc2n1CCO,CC(C)(C)c1cc2c(C#N)c(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)ccc2n1CCO,6.7423214251308154,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc(N)c(O)c4)CC3)ccc2n1C[C@@H](O)CO,CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc(N)c(O)c4)CC3)ccc2n1C[C@@H](O)CO,5.7423214251308154,"BindingDB,ChEMBL"
CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc(O)c(O)c4)CC3)ccc2n1CC(O)CO,CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc(O)c(O)c4)CC3)ccc2n1CC(O)CO,5.74,Papyrus
CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc(O)c(O)c4)CC3)ccc2n1C[C@@H](O)CO,CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc(O)c(O)c4)CC3)ccc2n1C[C@@H](O)CO,5.7423214251308154,ChEMBL
CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CCC5)CC3)ccc2n1CC(O)CO,CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CCC5)CC3)ccc2n1CC(O)CO,6.01,Papyrus
CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CCC5)CC3)ccc2n1C[C@@H](O)CO,CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CCC5)CC3)ccc2n1C[C@@H](O)CO,6.008330992620052,"BindingDB,ChEMBL"
CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)c(F)cc2n1CC(O)CO,CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)c(F)cc2n1CC(O)CO,7.18,Papyrus
CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)c(F)cc2n1C[C@@H](O)CO,7.084805943390512,"BindingDB,ChEMBL"
CC(C)(C)c1cc2cc[nH]c2cc1NC(=O)c1c[nH]c2ccccc2c1=O,CC(C)(C)c1cc2cc[nH]c2cc1NC(=O)c1c[nH]c2ccccc2c1=O,7.485917790287765,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1,7.0,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1CO,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1CO,7.0,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1F,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1F,7.0,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1N,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1N,7.0,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,8.41195437047216,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1S(N)(=O)=O,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1S(N)(=O)=O,5.292429823902063,"BindingDB,ChEMBL,Papyrus"
CC(C)(C)c1nc(NC(=O)Nc2ccccc2)sc1Br,CC(C)(C)c1nc(NC(=O)Nc2ccccc2)sc1Br,5.181,Papyrus
