nombre,hub_diana,drugbank_id,indicacion,dock_wt,dock_delta,dock_media,pIC50_pred,tanimoto_max,confianza_prediccion,dock_norm,pic50_norm,score_final
Cromoglicic_acid,HSP90AA1,DB01003,Antialérgico,-9.347,-9.326,-9.336500000000001,6.390466333770707,0.233,Media (zona marginal),0.8389377976620005,0.44132230530971084,0.6798916007210847
Glyburide,CFTR,DB01016,Antidiabético,-10.105,-9.684,-9.8945,5.767546430496758,0.333,Media (zona marginal),1.0,0.13643798229820403,0.6545751929192816
Dasatinib,HSPA8,DB01254,Antineoplásico,-9.131,-9.242,-9.1865,5.508016387299335,0.272,Media (zona marginal),0.795641506710925,0.009412595718776284,0.4811499423140655
Fostamatinib,PRKACA,DB12010,Inmunomodulador,-9.009,-8.781,-8.895,5.746110058298695,0.229,Media (zona marginal),0.7115023812960017,0.1259460815079434,0.4772798613807784
Bumetanide,CFTR,DB00887,Diurético,-7.21,-7.147,-7.1785,5.905681119077303,0.27,Media (zona marginal),0.21604849184586516,0.20404715771696313,0.21124795819430436
Artenimol,HSPA8,DB11638,Antimalárico,-6.613,-6.886,-6.7495,5.792923237388875,0.298,Media (zona marginal),0.09222109972579018,0.14885850466204698,0.11487606170029291
Ibuprofen,CFTR,DB01050,AINE,-6.593,-6.267,-6.43,5.488785181323305,0.312,Media (zona marginal),0.0,0.0,0.0
Ivacaftor,CFTR,DB08820,FQ - modulador,-9.493,-9.651,-9.572,7.531920417405745,0.88,Alta (dentro del dominio),0.9069129744551878,1.0,0.9441477846731127
