Modelo,N compuestos,R² (CV 5-fold),RMSE (CV 5-fold),R² (hold-out 20%),RMSE (hold-out 20%)
Modelo 1 — Solo ChEMBL,513,0.544 ± 0.172,0.679 ± 0.074,0.729,0.578
Modelo 2 — ChEMBL+Papyrus+BindingDB,1082,0.649 ± 0.040,0.514 ± 0.032,0.686,0.465
